Region,Raça ou Cor,Total,2005 - 2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Norte,Branca,8.8,11.4,9.6,8.7,10.0,6.8,8.6,7.2,8.2,9.2,9.2,7.9,8.1
Norte,Preta,6.3,8.5,6.8,8.3,6.6,6.7,6.3,5.7,5.5,6.1,5.7,5.7,5.7
Norte,Amarela,1.1,2.5,0.9,0.9,0.7,0.9,0.5,0.7,1.0,0.8,1.1,1.2,1.2
Norte,Parda,79.1,72.3,78.9,77.5,78.5,81.4,79.4,81.6,80.2,79.3,79.4,80.4,80.6
Norte,Indígena,1.7,1.6,2.1,2.0,1.7,1.5,1.5,1.9,1.7,1.5,1.7,1.6,1.8
Norte,Ignorada,3.1,3.7,1.6,2.7,2.5,2.8,3.7,3.0,3.4,3.2,2.9,3.1,2.6
Nordeste,Branca,11.5,14.8,13.5,12.6,10.4,11.4,10.7,10.4,10.4,10.8,10.9,12.1,10.5
Nordeste,Preta,12.1,12.2,13.9,12.1,11.7,12.1,13.3,13.0,15.2,13.5,12.0,9.4,9.4
Nordeste,Amarela,1.0,1.3,0.6,0.8,1.1,1.0,1.2,1.1,0.8,1.1,1.0,1.0,0.8
Nordeste,Parda,67.2,61.2,62.2,61.7,66.4,64.8,65.8,67.6,65.4,67.7,68.6,70.8,73.6
Nordeste,Indígena,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4
Nordeste,Ignorada,7.8,10.1,9.4,12.4,9.9,10.3,8.5,7.5,7.6,6.4,7.1,6.1,5.2
Centro,Branca,24.9,29.4,29.3,28.7,28.3,25.5,24.2,23.4,24.6,25.0,21.9,22.5,23.1
Centro,Preta,8.1,6.6,7.7,9.7,10.0,7.9,8.6,8.3,7.5,8.2,8.6,8.0,8.4
Centro,Amarela,1.1,1.1,0.9,0.4,0.9,1.4,1.2,1.1,1.5,1.1,1.3,1.2,1.0
Centro,Parda,53.3,32.6,46.8,47.5,49.0,51.9,54.4,54.9,55.2,57.4,60.8,60.3,57.9
Centro,Indígena,3.0,9.3,5.7,5.4,3.3,2.9,2.2,2.2,1.9,1.7,1.6,1.4,1.2
Centro,Ignorada,9.6,21.0,9.7,8.3,8.5,10.3,9.5,10.1,9.4,6.7,5.9,6.7,8.3
Sudeste,Branca,31.1,36.7,35.1,32.6,32.1,32.6,32.1,31.4,30.5,31.1,30.2,29.2,29.0
Sudeste,Preta,15.4,14.5,14.2,15.8,15.4,14.2,15.5,14.8,15.0,15.7,15.4,15.8,16.4
Sudeste,Amarela,0.9,0.7,0.6,0.9,0.8,0.8,0.6,0.8,0.8,0.9,0.9,0.9,1.2
Sudeste,Parda,42.7,32.1,36.2,37.4,38.5,39.5,40.4,41.7,43.6,44.3,45.0,45.6,47.2
Sudeste,Indígena,0.2,0.8,0.9,0.5,0.5,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1
Sudeste,Ignorada,9.8,15.2,12.9,12.7,12.7,12.7,11.3,11.1,9.9,7.8,8.2,8.3,6.1
Sul,Branca,67.1,67.0,69.0,66.6,65.7,67.8,66.3,66.0,67.1,67.8,67.7,66.7,66.7
Sul,Preta,9.3,10.0,11.0,10.2,10.7,9.5,8.6,9.7,9.3,8.9,8.6,9.8,8.7
Sul,Amarela,0.6,0.7,0.3,0.6,0.5,0.9,0.6,0.5,0.7,0.6,0.6,0.7,0.5
Sul,Parda,16.2,12.5,13.7,17.0,15.9,14.8,17.1,15.9,16.4,16.6,16.5,16.4,17.7
Sul,Indígena,0.6,1.5,0.8,0.5,0.3,0.4,0.7,0.8,0.5,0.7,0.6,0.5,0.2
Sul,Ignorada,6.2,8.4,5.2,5.1,7.0,6.6,6.7,7.1,6.1,5.3,5.9,6.0,6.2
