Branca,Preta,Amarela,Parda,Indígena,Ignorada,Region
8.8,6.3,1.1,79.1,1.7,3.1,Norte
11.4,8.5,2.5,72.3,1.6,3.7,Norte
9.6,6.8,0.9,78.9,2.1,1.6,Norte
8.7,8.3,0.9,77.5,2.0,2.7,Norte
10.0,6.6,0.7,78.5,1.7,2.5,Norte
6.8,6.7,0.9,81.4,1.5,2.8,Norte
8.6,6.3,0.5,79.4,1.5,3.7,Norte
7.2,5.7,0.7,81.6,1.9,3.0,Norte
8.2,5.5,1.0,80.2,1.7,3.4,Norte
9.2,6.1,0.8,79.3,1.5,3.2,Norte
9.2,5.7,1.1,79.4,1.7,2.9,Norte
7.9,5.7,1.2,80.4,1.6,3.1,Norte
8.1,5.7,1.2,80.6,1.8,2.6,Norte
11.5,12.1,1.0,67.2,0.4,7.8,Nordeste
14.8,12.2,1.3,61.2,0.4,10.1,Nordeste
13.5,13.9,0.6,62.2,0.4,9.4,Nordeste
12.6,12.1,0.8,61.7,0.4,12.4,Nordeste
10.4,11.7,1.1,66.4,0.6,9.9,Nordeste
11.4,12.1,1.0,64.8,0.4,10.3,Nordeste
10.7,13.3,1.2,65.8,0.5,8.5,Nordeste
10.4,13.0,1.1,67.6,0.5,7.5,Nordeste
10.4,15.2,0.8,65.4,0.5,7.6,Nordeste
10.8,13.5,1.1,67.7,0.4,6.4,Nordeste
10.9,12.0,1.0,68.6,0.4,7.1,Nordeste
12.1,9.4,1.0,70.8,0.4,6.1,Nordeste
10.5,9.4,0.8,73.6,0.4,5.2,Nordeste
24.9,8.1,1.1,53.3,3.0,9.6,Centro
29.4,6.6,1.1,32.6,9.3,21.0,Centro
29.3,7.7,0.9,46.8,5.7,9.7,Centro
28.7,9.7,0.4,47.5,5.4,8.3,Centro
28.3,10.0,0.9,49.0,3.3,8.5,Centro
25.5,7.9,1.4,51.9,2.9,10.3,Centro
24.2,8.6,1.2,54.4,2.2,9.5,Centro
23.4,8.3,1.1,54.9,2.2,10.1,Centro
24.6,7.5,1.5,55.2,1.9,9.4,Centro
25.0,8.2,1.1,57.4,1.7,6.7,Centro
21.9,8.6,1.3,60.8,1.6,5.9,Centro
22.5,8.0,1.2,60.3,1.4,6.7,Centro
23.1,8.4,1.0,57.9,1.2,8.3,Centro
31.1,15.4,0.9,42.7,0.2,9.8,Sudeste
36.7,14.5,0.7,32.1,0.8,15.2,Sudeste
35.1,14.2,0.6,36.2,0.9,12.9,Sudeste
32.6,15.8,0.9,37.4,0.5,12.7,Sudeste
32.1,15.4,0.8,38.5,0.5,12.7,Sudeste
32.6,14.2,0.8,39.5,0.2,12.7,Sudeste
32.1,15.5,0.6,40.4,0.1,11.3,Sudeste
31.4,14.8,0.8,41.7,0.2,11.1,Sudeste
30.5,15.0,0.8,43.6,0.2,9.9,Sudeste
31.1,15.7,0.9,44.3,0.1,7.8,Sudeste
30.2,15.4,0.9,45.0,0.2,8.2,Sudeste
29.2,15.8,0.9,45.6,0.2,8.3,Sudeste
29.0,16.4,1.2,47.2,0.1,6.1,Sudeste
67.1,9.3,0.6,16.2,0.6,6.2,Sul
67.0,10.0,0.7,12.5,1.5,8.4,Sul
69.0,11.0,0.3,13.7,0.8,5.2,Sul
66.6,10.2,0.6,17.0,0.5,5.1,Sul
65.7,10.7,0.5,15.9,0.3,7.0,Sul
67.8,9.5,0.9,14.8,0.4,6.6,Sul
66.3,8.6,0.6,17.1,0.7,6.7,Sul
66.0,9.7,0.5,15.9,0.8,7.1,Sul
67.1,9.3,0.7,16.4,0.5,6.1,Sul
67.8,8.9,0.6,16.6,0.7,5.3,Sul
67.7,8.6,0.6,16.5,0.6,5.9,Sul
66.7,9.8,0.7,16.4,0.5,6.0,Sul
66.7,8.7,0.5,17.7,0.2,6.2,Sul
